anio,trimestre,provincia,accesos por cada 100 hogares,variacion de los accesos por cada 100 hogares
2014,1,Buenos Aires,54.57,0.0
2014,1,Capital Federal,112.25,0.0
2014,1,Catamarca,24.25,0.0
2014,1,Chaco,20.72,0.0
2014,1,Chubut,41.24,0.0
2014,1,Córdoba,52.52,0.0
2014,1,Corrientes,22.32,0.0
2014,1,Entre Ríos,34.37,0.0
2014,1,Formosa,17.42,0.0
2014,1,Jujuy,18.42,0.0
2014,1,La Pampa,48.43,0.0
2014,1,La Rioja,16.29,0.0
2014,1,Mendoza,31.91,0.0
2014,1,Misiones,23.14,0.0
2014,1,Neuquén,49.79,0.0
2014,1,Río Negro,44.91,0.0
2014,1,Salta,28.7,0.0
2014,1,San Juan,27.6,0.0
2014,1,San Luis,9.35,0.0
2014,1,Santa Cruz,28.94,0.0
2014,1,Santa Fe,47.85,0.0
2014,1,Santiago Del Estero,16.31,0.0
2014,1,Tierra Del Fuego,63.97,0.0
2014,1,Tucumán,33.42,0.0
2014,2,Buenos Aires,55.06,0.008979292651640103
2014,2,Capital Federal,113.14,0.007928730512249516
2014,2,Catamarca,24.7,0.01855670103092777
2014,2,Chaco,20.96,0.011583011583011782
2014,2,Chubut,41.41,0.0041222114451986425
2014,2,Córdoba,53.45,0.017707539984767706
2014,2,Corrientes,22.58,0.011648745519713177
2014,2,Entre Ríos,34.69,0.00931044515565893
2014,2,Formosa,17.54,0.006888633754305262
2014,2,Jujuy,18.71,0.01574375678610207
2014,2,La Pampa,49.71,0.026429898823043585
2014,2,La Rioja,16.5,0.012891344383057168
2014,2,Mendoza,32.1,0.005954246317768863
2014,2,Misiones,23.37,0.009939498703543714
2014,2,Neuquén,50.84,0.0210885720024101
2014,2,Río Negro,45.33,0.009352037408149716
2014,2,Salta,28.91,0.007317073170731714
2014,2,San Juan,27.78,0.006521739130434856
2014,2,San Luis,9.72,0.039572192513369187
2014,2,Santa Cruz,29.38,0.01520387007601931
2014,2,Santa Fe,48.39,0.011285266457680132
2014,2,Santiago Del Estero,16.7,0.02391171060698971
2014,2,Tierra Del Fuego,64.36,0.006096607784899177
2014,2,Tucumán,33.94,0.015559545182525225
2014,3,Buenos Aires,56.75,0.030693788594260862
2014,3,Capital Federal,113.8,0.005833480643450573
2014,3,Catamarca,24.71,0.00040485829959524544
2014,3,Chaco,21.11,0.007156488549618256
2014,3,Chubut,40.6,-0.019560492634629223
2014,3,Córdoba,54.23,0.014593077642656604
2014,3,Corrientes,22.79,0.009300265721877699
2014,3,Entre Ríos,34.98,0.00835975785528964
