Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago Del Estero,Tierra Del Fuego,Tucumán
472021.57501086895,581434.808064651,426958.89706369775,502662.76558549,598706.8953302916,541775.9688939181,710033.0000542761,668471.2976992184,705466.4780268924,558084.6696578742,854084.3895625281,506800.9137620808,1400258.9577424352,1093856.9380719995,1515734.7962270456,1862098.6159857053,1628256.7483922534,2132818.779223041,480462.3743408785,2972605.161767426,2653085.440146702,1703094.589705524,3300052.506836553,3806451.241839643
476259.99487077974,586044.8479682372,434881.8456690035,508485.1142216153,601174.8917465416,548086.9792842594,722605.9377932419,674695.0630545793,710326.1782199591,566871.0189630195,876657.7535650069,513334.25887503626,1408596.444485496,1104729.3276898284,1547699.4786138386,1879513.0319000669,1640170.822160977,2146728.4669136275,499475.3239137263,3017800.264434242,2683026.216273749,1743818.4946708921,3320171.6326403087,3865677.891922128
490878.2184692471,589463.5292450535,435057.91119356576,512124.08211919403,589415.6147044097,553184.3338303043,733150.9823485031,680335.3504078749,719640.6035900043,556569.7818466423,983704.8781705103,513645.37054708163,1417811.5614120362,1114183.5795314182,1716960.0824905678,1915585.750579818,1657758.2643909983,2152137.7899044096,498961.4604117579,2899676.7006459706,2727937.380464319,1721890.238151079,3388783.0103813238,3865677.891922128
485169.32641304086,595161.3313730817,449143.1531585538,530561.5194669242,584334.4456121302,571874.633832469,739505.0476574431,700757.0804801527,727335.128895694,593836.0220029498,904169.0409430271,529200.9541493554,1432292.4594394572,1142073.6224641104,1599756.2470723288,1885732.466155197,1675345.7066210194,2166820.23802225,503072.36842750845,2855508.759403402,2772294.0858377228,1803338.0480818152,3411997.3863087343,4022856.309448718
487591.28061870433,595161.3313730817,442100.5321760596,646523.2964697547,546007.9130303656,702706.7338476223,739505.0476574431,818230.6515625871,733814.7291531168,596562.8200631669,978943.3092012372,519556.4923159456,1420444.451962476,1243706.829761205,1581490.7142798766,1879513.0319000669,1702577.8752352446,2128954.977086769,499475.3239137263,2875024.826464073,2785601.0974497455,1781409.791562002,3829340.2779815127,3995520.932487572
491310.71029168717,601221.7209092563,448086.7600111796,666173.7231166778,531054.7582730862,717998.797485757,755322.6144903351,834957.0209551196,743534.1295392505,614741.4737979514,1000105.8379535609,525156.5024127642,1425710.2330633572,1292868.9393374755,1617108.5032251594,1906463.913672294,1728108.0333110814,2135909.820932061,498961.4604117579,2780525.9754334562,2837720.226263493,1786630.8050190995,3843784.778558569,4064998.348930486
499009.06473111664,612720.9215676399,455305.446518236,678303.6161086056,534393.8122480126,732319.9364484545,771680.9528388818,849543.9710067463,762972.9303115184,644433.2748980987,1022150.1387372317,533556.5175579919,1425710.2330633572,1338249.3481771084,1662163.4841132096,1923463.700636314,1768956.28623242,2138228.102213825,498961.4604117579,2835992.69234273,2891502.7315287464,1787675.0077105202,3861840.4042798877,4169783.960614881
504198.9666003952,611892.1503490173,461995.93645160523,687764.9326423092,535555.222326248,736446.3663190625,775466.3534484633,857907.1557030125,772287.3556815634,650492.8261430269,1036258.4912387804,538845.4159827651,1425710.2330633572,1356212.4266761309,1774496.5107867946,1925536.845388024,1792217.0969237385,2137455.3417865695,498961.4604117579,2849345.7908579265,2917007.837118452,1775144.5754134837,3428505.3869682243,4221037.792417032
495981.62197403755,596508.0846033425,456185.77414104756,681214.7904266684,523941.1215438949,730135.3559287208,747346.2346344326,852850.3463517817,771072.4306332965,648674.9607695483,1020033.8858619996,523600.94405253674,1409474.074668976,1341085.6237295864,1697172.4219654112,1900659.1083675066,1776899.002078237,2111954.247687164,492795.09838813194,2759982.74694854,2843264.814435169,1692652.5627913268,3396005.2606698493,4182312.675055406
513281.2948716322,621785.6067713203,459002.8225340452,693587.2812784347,524376.6503232331,742271.9143716852,778035.0181478218,870160.1937463789,784436.6061642307,663217.8837573759,1065886.0314920335,525156.5024127642,1409912.8897607161,1382211.6192405035,1799154.9800566053,1917244.266381185,1820016.6023840935,2112727.0081144185,493308.9618901004,2745602.487009098,2907582.0372266043,1659238.0766658979,3493505.639564974,4241539.32513789
520201.1640306701,625566.8754562843,466221.50904110173,701350.4127932687,525247.7078819096,754165.74164579,787363.3267928608,883774.6804612303,754873.4299897401,685032.2682391169,1088635.7499007813,531067.6241816282,1408157.6293937562,1413883.3629098313,1832946.215722644,1923463.700636314,1869942.2448435077,2111181.4872599086,494850.5523960073,2756901.2626758013,2920334.5900214575,1600762.7259463938,3556442.3920792877,4316711.611781042
529715.9841243472,624841.7006399899,467277.9021884756,698439.238475206,523650.769024336,751981.1611260567,780062.9113315259,879301.3491120648,803875.4069364993,686244.1784881027,1111385.4683095294,512089.8121868541,1409035.259577236,1404901.8236603206,1853038.3017943422,1923463.700636314,1854624.1499980062,2108863.2059781444,495364.4158979757,2778471.652584965,2893720.566797415,1573613.4559694831,3627117.2699027373,4325823.404101424
506620.9208060583,561337.1060130621,451784.1360269888,694315.0748579501,517698.5423733801,751010.2364506196,779386.9469369581,873466.5690914143,803470.43192041,689576.9316728127,1105213.064090102,504000.9087136719,1397187.2521002549,1395447.5718187299,1857604.6849924547,1908537.0584240041,1848383.4446905786,2089544.1952967779,490739.6443802567,2724032.0970999342,2881522.4728197297,1534977.9563869545,3555410.642038069,4316711.611781042
486726.2969738247,642608.4836392037,457418.23281298415,704746.7828310084,516101.60351580655,761933.1390492868,797232.4069535543,882802.2171244551,808735.1071295661,678669.7394319425,1119674.1254041896,504000.9087136719,1393676.731366335,1422392.1895672625,1884698.5586345927,1908122.4294736625,1857460.8342286542,2083362.1118787397,488684.19037238136,2696298.738645297,2898156.2373347566,1474414.2002846107,3531680.391090049,4349741.858942429
481190.40164659434,631212.8793831482,572036.8893030739,727308.3837959943,671004.6727004385,780866.1702203109,842386.8285106997,893888.299163692,864621.6593498365,686244.1784881027,1219314.3649463805,1601291.776018067,1566569.8775119067,1428064.740672217,1851820.599608178,2011779.6670591498,2260269.994980746,2501425.5030235457,795460.7010477879,3419420.381314361,3377208.655367515,3667239.852265974,3391362.3854843685,4521726.938989642
498317.0778152129,636599.8923041925,503899.5312974446,747444.0061625945,747077.0328248501,789361.7611303859,856176.5021598882,931425.3839632117,861381.8592211251,688970.9765483204,1252998.056543829,1604402.892738522,1462570.7007695194,1472027.011735612,1864302.0470163547,2047437.7567885579,2258000.647596226,2341464.0945818177,544181.4485850178,2969523.677494687,3421565.360740918,3041762.4401055756,3089575.498428031,4544506.419790597
