,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Latitud,Longitud
0,buenos aires,bahía blanca,villa bordeau,0,no,no,no,no,no,no,no,si,si,-38.6472605094596,-62.3200223419024
1,buenos aires,bahía blanca,villa espora,0,no,no,no,no,no,no,no,no,no,-38.7765069529222,-62.1851833537179
2,buenos aires,balcarce,balcarce,38376,si,si,si,si,no,si,si,si,si,-37.8482779294345,-58.2551665841248
3,buenos aires,balcarce,los pinos,337,no,no,no,no,no,si,si,no,no,-32.3192645478922,-58.3225920150442
4,buenos aires,balcarce,napaleofú,374,no,no,no,si,no,si,si,si,si,-37.6254980210026,-58.7461862359423
5,buenos aires,balcarce,ramos otero,95,no,no,no,no,no,si,no,no,si,-37.5426353712017,-58.3407185507274
6,buenos aires,balcarce,san agustín,498,no,no,no,no,no,si,si,no,no,-38.0122838564587,-68.83837068889423
7,buenos aires,balcarce,villa laguna la brava,115,no,no,no,no,no,si,si,si,si,-37.8596285282151,-57.9806008736401
8,buenos aires,baradero,baradero,28537,si,si,no,si,si,si,si,si,si,-33.8128781547156,-59.5043068852807
9,buenos aires,baradero,irineo portela,379,no,no,no,si,si,si,si,no,no,-33.9810489198561,-59.6715601606315
10,buenos aires,baradero,santa coloma,203,no,no,no,no,no,si,no,no,si,-35.6875387556055,-59.5585420642846
11,buenos aires,baradero,villa alsina (est. alsina),1488,si,no,no,no,no,si,si,si,si,-33.9096038045591,-59.3882017132282
12,buenos aires,benito juárez,barker,1241,no,no,si,si,si,si,si,si,si,-37.6424111302365,-59.3889380312927
13,chubut,futaleufú,lago rosario,87,no,no,no,no,si,no,si,no,no,-43.2500168518714,-71.3512318442886
14,buenos aires,general las heras,general las heras (est. las heras),11331,si,si,si,si,no,si,si,si,si,-34.9267739074255,-58.9453407851291
15,buenos aires,general las heras,la choza,41,no,no,no,no,no,no,no,no,no,-34.7829908276155,-59.1095647693247
16,buenos aires,general las heras,lozano,0,no,no,no,no,si,no,no,no,no,-34.8542796259808,-59.0533451317779
17,buenos aires,general las heras,plomer,198,no,no,no,no,no,no,si,no,no,-34.7941193667757,-59.0279756935744
18,buenos aires,general las heras,villars,1147,no,si,si,si,no,no,si,no,no,-34.8300241949658,-58.9422589402025
19,buenos aires,general lavalle,chacras de san clemente,0,no,no,no,no,no,si,no,no,no,-36.4080851872455,-56.9433553335054
20,buenos aires,general lavalle,general lavalle,1827,no,si,no,si,si,si,si,si,si,-36.4080851872455,-56.9433553335054
21,buenos aires,general lavalle,pavón,942,no,no,no,si,no,si,no,si,si,-36.7089537726649,-56.7598433617574
22,buenos aires,general paz,barrio río salado,265,no,no,no,no,no,no,no,no,no,-35.6936377582584,-68.84756427397683
23,buenos aires,general paz,loma verde,657,no,no,no,no,no,si,si,si,si,-35.2747490125694,-58.4041701894263
24,buenos aires,general paz,ranchos,7916,si,no,si,si,no,si,si,si,si,-35.5173520233652,-58.3184247148653
25,buenos aires,general paz,villanueva (ap. río salado),537,no,no,no,no,no,si,si,no,no,-35.6776271050909,-58.4350923167562
26,buenos aires,general pinto,colonia san ricardo (est. iriarte),811,si,no,no,no,no,si,si,si,si,-34.4162137301573,-61.9280141749282
27,misiones,san ignacio,general urquiza,372,no,no,no,no,no,si,no,no,no,-27.0988816811273,-55.3678169761144
28,buenos aires,magdalena,general mansilla (est. bartolomé bavio),2022,no,si,no,si,no,no,si,no,si,-35.0816834306862,-57.7469762592144
29,buenos aires,magdalena,los naranjos,115,no,no,no,si,no,no,no,no,no,-32.63128886071681,-57.7036642458572
30,buenos aires,magdalena,magdalena,11093,si,si,si,no,no,si,si,si,si,-35.0806853032506,-57.5172585839912
31,buenos aires,magdalena,roberto j. payró,65,no,no,no,no,no,si,no,no,no,-35.1799267057869,-68.76803151470683
32,buenos aires,magdalena,vieytes,287,no,no,no,si,no,si,si,no,no,-35.80828018176221,-57.5757117447539
33,buenos aires,maipú,las armas,365,si,no,no,no,no,si,si,si,si,-32.318409396230805,-57.8285752273883
34,buenos aires,maipú,maipú,8883,si,no,si,no,no,si,si,si,si,-36.8648514645038,-57.8829166198472
35,buenos aires,maipú,santo domingo,95,no,no,no,no,si,si,si,no,si,-36.7137597811284,-57.5860126519926
36,buenos aires,malvinas argentinas,area de promocion el triángulo,2877,si,no,no,si,no,no,no,si,si,-34.4544550576034,-58.7062417407487
37,buenos aires,malvinas argentinas,grand bourg,94441,si,si,no,si,no,no,si,si,si,-34.4869935800875,-58.7286750953502
38,buenos aires,malvinas argentinas,ingeniero adolfo sourdeaux,28780,si,si,no,si,no,si,si,si,si,-34.5004325972609,-58.6618050648717
39,buenos aires,san fernando,san fernando,74814,si,si,si,si,no,si,si,si,si,-34.4473601745411,-58.5690015916776
40,buenos aires,san fernando,victoria,42703,si,si,no,si,si,si,si,si,si,-34.4619820050413,-58.5595970877081
41,buenos aires,san fernando,virreyes,42768,si,si,no,si,no,no,si,si,si,-34.4636240092728,-58.5761941633194
42,buenos aires,san isidro,acassuso,12902,si,si,si,si,si,no,si,si,si,-34.4794018120083,-58.5074043996961
43,buenos aires,san isidro,beccar,59088,si,si,no,si,no,si,si,si,si,-34.4674159462571,-58.5400343502635
44,buenos aires,san isidro,boulogne sur mer,73842,si,si,no,si,no,si,si,si,si,-34.4983312888498,-58.5700137209729
45,caba,comuna 04,nueva pompeya,42695,si,si,si,si,si,si,si,si,si,-34.6505501963997,-58.4188550090093
46,chaco,san fernando,fontana,32027,no,no,no,si,no,si,no,si,si,-27.4167127425858,-63.593272290617236
47,chaco,san fernando,puerto vilelas,8278,no,no,no,si,si,no,no,si,si,-27.5106090846354,-68.89673235931834
48,chaco,san fernando,resistencia,290723,si,si,si,si,si,si,si,si,si,-27.4521194584549,-58.9876174408016
49,chaco,san lorenzo,samuhú,1251,no,no,no,no,si,no,no,no,si,-27.5222254234698,-60.3941746057505
50,buenos aires,tandil,desvío aguirre,0,no,no,no,si,no,si,no,si,si,-32.28132334213564,-63.00283291273193
51,buenos aires,tandil,gardey,532,no,no,no,si,no,si,si,si,si,-37.2823323375205,-59.3630004748452
52,buenos aires,tandil,maría ignacia (est. vela),1948,si,no,no,no,no,si,si,no,si,-37.4029073074266,-59.5093354449092
53,buenos aires,tandil,tandil,116916,si,si,si,si,si,si,si,si,si,-37.3238849060878,-59.1310691770429
54,buenos aires,tapalqué,crotto,247,no,no,no,no,no,no,no,no,no,-36.5774103919485,-60.1711185359919
55,buenos aires,tapalqué,tapalqué,7444,no,no,no,no,si,no,si,si,si,-36.3573669882462,-60.0247443487218
56,buenos aires,tapalqué,velloso,127,no,no,no,no,no,no,no,no,no,-36.1215309084723,-59.6527146246682
57,buenos aires,tigre,benavídez,42781,si,si,no,si,si,si,si,si,si,-34.4104347356392,-58.6887919689512
58,buenos aires,tigre,dique luján,3351,si,si,no,si,no,si,si,si,si,-34.3717750147952,-58.6917925096496
59,caba,comuna 10,floresta,37575,si,si,si,si,si,si,si,si,si,-34.6276862905939,-58.4835872783595
60,chubut,futaleufú,los cipreses,179,no,no,no,no,si,no,si,no,no,-43.1847146210617,-71.6413919295155
61,chubut,futaleufú,trevelín,6353,si,no,si,no,si,si,si,si,si,-43.0908711905976,-71.4654853699539
62,chubut,futaleufú,villa futalaufquen,28,no,no,no,no,si,no,si,no,no,-42.9006375858067,-71.6061535113717
63,chubut,gaiman,28 de julio,237,no,no,no,si,si,no,no,si,si,-43.3809771295585,-65.8386877428492
64,chubut,gaiman,dique florentino ameghino,156,no,no,no,no,no,no,si,no,no,-43.7032847513538,-69.65077294507954
65,chubut,gaiman,dolavon,2887,no,no,si,si,si,no,si,no,si,-36.612253100018705,-65.7087388385691
66,buenos aires,san isidro,martínez,66169,si,si,si,si,si,si,si,si,si,-34.4944230772436,-58.5105732755943
67,buenos aires,san isidro,san isidro,45403,si,si,si,si,si,si,si,si,si,-34.4770412162141,-63.588104864725636
68,buenos aires,san isidro,villa adelina,35473,si,si,no,si,no,no,si,si,si,-34.5151197673508,-58.5457579220177
69,buenos aires,san miguel,bella vista,74138,si,si,si,si,si,si,si,si,si,-34.5751401519414,-58.6960409885544
70,buenos aires,san miguel,campo de mayo,1525,no,no,no,no,si,no,no,si,si,-34.5346818189868,-58.6513860167431
71,buenos aires,san miguel,muñiz,28615,si,si,si,si,no,no,si,si,si,-34.5557351629874,-58.7080227572424
72,cordoba,cruz del eje,canteras quilpo,216,no,no,no,no,no,si,si,no,no,-30.8666932853441,-64.6829010647536
73,cordoba,cruz del eje,cruz de caña,130,no,no,no,no,no,si,no,no,no,-31.0662466251544,-64.9425321672363
74,buenos aires,berisso,berisso,87698,si,si,si,si,no,si,si,si,si,-34.8746353679645,-57.8947472316799
75,buenos aires,berisso,los talas,0,no,no,no,no,no,no,no,no,no,-34.9190209219847,-57.7909954962894
76,buenos aires,berisso,villa arguello,0,no,no,no,si,no,si,no,si,si,-34.9053981881099,-57.9180815078165
77,buenos aires,berisso,villa dolores,0,no,no,no,no,no,no,no,si,si,-34.8802085383888,-57.8663036732616
78,buenos aires,berisso,villa independencia,0,no,no,no,no,no,no,no,no,no,-34.8829519743895,-57.8614892695719
79,buenos aires,berisso,villa nueva,0,no,no,no,si,no,si,no,si,si,-34.8957079362353,-57.9108816644737
80,buenos aires,berisso,villa porteña,0,no,no,no,no,no,no,no,no,no,-35.770427673176705,-57.8963773978494
81,buenos aires,berisso,villa progreso,0,no,no,no,si,no,si,no,no,no,-34.9308766123633,-57.8468799885622
82,buenos aires,berisso,villa san carlos,0,no,no,no,no,no,no,no,si,si,-32.3162071552124,-63.581603072290235
83,buenos aires,berisso,villa zula,0,no,no,no,no,no,no,no,no,no,-34.9221646298322,-57.8009664840662
84,buenos aires,bolívar,hale,211,si,no,no,no,no,no,si,no,no,-36.0010429767568,-60.8534495072374
85,buenos aires,bolívar,juan f. ibarra,33,no,no,no,no,no,no,no,no,no,-36.3498770527922,-61.2552591224518
86,buenos aires,bolívar,mariano unzué,0,no,no,no,no,no,no,no,no,no,-36.1440485245343,-61.0116010100704
87,buenos aires,bolívar,paula,40,no,no,no,no,si,no,no,no,no,-36.5053183545527,-61.0243287245345
88,buenos aires,bolívar,pirovano,1551,no,no,no,no,no,si,si,si,no,-36.5109170215402,-61.5545516558692
89,buenos aires,bolívar,san carlos de bolívar (est. bolívar),26242,si,si,si,no,no,si,si,si,si,-36.2295602208798,-61.1131898679983
90,buenos aires,bolívar,urdampilleta,2643,no,no,si,no,no,si,si,si,si,-36.4329292363695,-61.4191160192421
91,buenos aires,bolívar,villa lynch pueyrredón,62,no,no,no,no,no,no,no,no,no,-36.6025793254646,-61.3618625494725
92,buenos aires,bragado,asamblea,7,no,no,no,no,no,no,no,no,no,-35.2267581272748,-60.4168952837295
93,caba,comuna 12,villa urquiza,91563,si,si,si,si,si,si,si,si,si,-34.5715411303449,-58.4878560596649
94,cordoba,río cuarto,alpa corral,812,no,no,no,no,no,no,no,si,si,-32.6904036665231,-69.47495001821534
95,cordoba,río cuarto,berrotarán,6869,si,si,no,si,no,si,si,si,si,-32.4528669215341,-64.3854404675021
96,cordoba,río cuarto,bulnes,1051,si,no,no,no,si,no,no,si,si,-33.5032818212674,-64.6755735163666
97,cordoba,río cuarto,chaján,767,no,no,no,si,si,no,si,si,si,-33.5563361347485,-65.0052699166312
98,cordoba,río cuarto,chucul,304,si,no,no,si,no,si,si,si,si,-33.0089546768665,-64.1712493406755
99,cordoba,río cuarto,coronel baigorria,1456,no,no,no,si,no,no,no,si,si,-32.8495478948519,-64.3598591374051
100,chaco,san lorenzo,villa berthet,10224,no,no,no,si,si,si,no,si,si,-27.2895492409257,-60.4155962080604
101,chaco,sargento cabral,capitán solari,1888,no,no,no,si,no,si,si,si,si,-26.8050732181615,-59.5596523744138
102,chaco,sargento cabral,colonia elisa,3471,no,no,no,no,si,no,si,si,si,-26.9324550960675,-59.5204851339373
103,chaco,sargento cabral,colonias unidas,3282,no,no,no,si,no,si,si,si,si,-26.7000971775462,-59.6277421824927
104,chaco,sargento cabral,ingeniero barbet,277,no,no,no,no,no,no,no,no,no,-27.0032121063146,-59.4825136520473
105,chaco,sargento cabral,las garcitas,3711,no,no,no,no,si,si,si,si,si,-26.6193460346699,-59.8042763819042
106,chaco,tapenagá,charadai,1519,no,no,no,si,si,no,si,si,si,-27.6553304709616,-59.8624460245382
107,chaco,tapenagá,cote lai,1323,no,no,no,no,no,no,si,no,si,-27.5303116601138,-59.5765171513905
108,chaco,tapenagá,haumonía,77,no,no,no,no,no,no,no,no,no,-27.5077849029352,-60.1635277537413
109,chaco,tapenagá,horquilla,122,no,no,no,no,no,no,no,no,no,-27.5427589336639,-59.9578541039413
110,chaco,tapenagá,la sabana,242,no,no,no,no,no,no,no,no,no,-27.8738009106984,-68.99678987163723
111,chubut,biedma,arroyo verde,59,no,no,no,no,si,no,no,no,no,-42.0119886969656,-65.3064500926092
112,chubut,biedma,puerto madryn,81315,si,si,si,si,si,si,si,si,si,-42.7550996783449,-65.0422298178163
113,chubut,biedma,puerto pirámide,565,no,no,no,no,si,si,si,si,si,-42.5736171931039,-64.2836893467339
114,chubut,biedma,quinta el mirador,626,no,no,no,no,no,si,no,si,si,-36.562482343446305,-69.50797469310653
115,cordoba,cruz del eje,cruz del eje,30680,si,si,no,si,no,si,si,si,si,-30.7218592173102,-64.8077377312137
116,cordoba,cruz del eje,el brete,1749,no,no,no,si,no,si,no,no,no,-30.6722100581192,-64.8699070292303
117,cordoba,cruz del eje,el rincón,129,no,no,no,no,no,no,no,no,no,-30.7491607666016,-64.6445159912109
118,cordoba,cruz del eje,guanaco muerto,320,no,no,no,no,no,si,no,no,no,-30.4794131800612,-65.0597627738017
119,cordoba,cruz del eje,la banda,560,no,no,no,no,si,no,no,no,no,-30.7628592235779,-64.6459839334075
120,cordoba,cruz del eje,la batea,96,no,no,no,no,no,si,no,no,no,-30.4417646532675,-65.4238386532105
121,cordoba,cruz del eje,la higuera,404,si,no,no,no,no,si,si,no,si,-31.0139548417914,-65.1020313666951
122,cordoba,cruz del eje,las cañadas,149,no,no,no,no,no,no,no,no,no,-30.9332479488458,-64.7189758691612
123,cordoba,cruz del eje,las playas,937,no,no,no,si,no,si,no,no,no,-30.6895900139602,-64.8508831281017
124,cordoba,cruz del eje,los chañaritos,311,no,no,no,si,no,si,no,no,no,-30.5724823864554,-64.9410778222467
125,cordoba,cruz del eje,media naranja,800,no,no,no,no,no,si,no,no,no,-30.6233104657952,-64.9515406139404
126,cordoba,cruz del eje,paso viejo,1033,si,no,no,no,no,si,si,si,si,-30.7686835768001,-65.1864700189142
127,cordoba,cruz del eje,san marcos sierra,943,no,si,no,si,no,si,si,si,si,-30.7803420622583,-64.6468515131076
128,cordoba,cruz del eje,serrezuela,2441,si,no,no,si,no,si,si,si,si,-30.6392026300348,-65.3813009621884
129,cordoba,cruz del eje,tuclame,907,no,no,no,no,no,si,no,no,no,-30.7485284753417,-65.2375410689391
130,buenos aires,general pueyrredón,chapadmalal,4112,si,no,no,si,si,si,si,si,si,-38.1757779275595,-57.6513390003209
131,buenos aires,general pueyrredón,el marquesado,196,no,no,no,no,no,si,si,no,no,-38.2369312519788,-68.77917472051823
132,buenos aires,general pueyrredón,estacion camet,0,no,no,no,no,no,no,no,si,si,-36.0701898658002,-57.6000121501773
133,buenos aires,general pueyrredón,estación chapadmalal,1633,si,no,no,si,si,si,no,si,si,-36.084996115269206,-57.7129897398616
134,buenos aires,general pueyrredón,mar del plata,560913,si,si,si,si,si,si,si,si,si,-38.0120914785136,-57.6064947153173
135,buenos aires,general pueyrredón,punta mogotes,0,no,no,no,no,no,no,no,si,si,-38.0833774287933,-57.5859350936487
136,buenos aires,general pueyrredón,sierra de los padres,4249,si,no,no,si,no,si,si,si,si,-36.07674001281241,-57.7715971022228
137,buenos aires,general rodríguez,barrio ruta 24 kilómetro 10,0,no,no,no,si,no,no,no,si,si,-34.6882159472973,-58.9574297137089
138,buenos aires,general rodríguez,country club bosque real - barrio morabo,0,no,no,no,no,no,no,no,si,si,-32.2813233455874,-63.00283291861953
